name,cgpa,percentage,year,branch,state,family_income,institution_type,gender
Synthetic Student 001,8.06,79,3,Chemical,Telangana,1671000,Private,Female
Synthetic Student 002,5.72,55,4,Chemical,Telangana,237000,Private,Female
Synthetic Student 003,5.96,60,4,Mechanical,Kerala,1452000,Aided,Female
Synthetic Student 004,8.87,88,1,Mechanical,Telangana,1311000,Government,Female
Synthetic Student 005,7.72,76,3,Computer Science,West Bengal,220000,Private,Male
Synthetic Student 006,8.59,85,1,Other,Delhi,1335000,Aided,Female
Synthetic Student 007,9.22,89,2,Computer Science,Tamil Nadu,81000,Aided,Female
Synthetic Student 008,6.93,68,3,Chemical,Telangana,1101000,Private,Female
Synthetic Student 009,6.69,64,4,Electronics,Gujarat,1619000,Government,Male
Synthetic Student 010,5.82,55,2,Civil,Other,121000,Private,Male
Synthetic Student 011,7.06,70,1,Chemical,Delhi,408000,Aided,Female
Synthetic Student 012,8.5,83,3,Mechanical,Delhi,1189000,Government,Female
Synthetic Student 013,6.95,68,4,Chemical,West Bengal,239000,Government,Other
Synthetic Student 014,8.07,79,1,Chemical,Telangana,110000,Private,Other
Synthetic Student 015,8.33,83,1,Mechanical,Karnataka,296000,Aided,Male
Synthetic Student 016,8.62,84,1,Civil,Delhi,89000,Aided,Female
Synthetic Student 017,9.67,96,3,Civil,Delhi,786000,Private,Female
Synthetic Student 018,6.47,62,4,Civil,Kerala,289000,Aided,Female
Synthetic Student 019,8.61,85,1,Civil,Uttar Pradesh,206000,Private,Female
Synthetic Student 020,8.86,88,1,Electronics,Tamil Nadu,135000,Private,Female
Synthetic Student 021,8.89,86,1,Mechanical,Karnataka,86000,Aided,Female
Synthetic Student 022,9.35,89,1,Chemical,Maharashtra,1016000,Private,Male
Synthetic Student 023,7.38,73,3,Mechanical,Maharashtra,1068000,Private,Other
Synthetic Student 024,9.53,92,1,Other,West Bengal,86000,Private,Other
Synthetic Student 025,9.12,90,1,Mechanical,Delhi,1507000,Government,Male
Synthetic Student 026,8.48,83,3,Civil,Karnataka,1431000,Aided,Male
Synthetic Student 027,6.85,66,1,Electronics,Uttar Pradesh,134000,Government,Female
Synthetic Student 028,8.52,81,1,Computer Science,Gujarat,138000,Aided,Male
Synthetic Student 029,7.17,71,3,Chemical,Telangana,356000,Private,Female
Synthetic Student 030,5.7,54,3,Electronics,Uttar Pradesh,318000,Aided,Male
Synthetic Student 031,5.91,57,3,Computer Science,Telangana,415000,Aided,Male
Synthetic Student 032,9.37,90,1,Other,West Bengal,1008000,Aided,Female
Synthetic Student 033,8.05,79,1,Computer Science,West Bengal,1830000,Government,Male
Synthetic Student 034,6.36,63,2,Civil,Delhi,138000,Government,Male
Synthetic Student 035,7.51,72,3,Chemical,Karnataka,875000,Aided,Other
Synthetic Student 036,8.73,86,1,Other,Telangana,374000,Aided,Female
Synthetic Student 037,8.41,82,4,Civil,Karnataka,1775000,Private,Other
Synthetic Student 038,5.67,54,1,Other,Kerala,841000,Private,Male
Synthetic Student 039,8.47,83,1,Civil,West Bengal,157000,Private,Other
Synthetic Student 040,8.69,86,1,Other,Tamil Nadu,1825000,Aided,Female
Synthetic Student 041,9.26,90,1,Electronics,West Bengal,200000,Aided,Female
Synthetic Student 042,7.02,68,2,Computer Science,Delhi,406000,Government,Other
Synthetic Student 043,8.87,88,2,Electronics,Kerala,155000,Aided,Female
Synthetic Student 044,6.6,67,2,Other,Telangana,203000,Private,Male
Synthetic Student 045,9.69,93,1,Chemical,West Bengal,940000,Government,Other
Synthetic Student 046,6,58,4,Computer Science,Other,1358000,Private,Male
Synthetic Student 047,8.15,79,2,Computer Science,Other,325000,Aided,Female
Synthetic Student 048,8.05,78,3,Mechanical,Telangana,152000,Aided,Other
Synthetic Student 049,8.29,82,2,Other,Tamil Nadu,1888000,Government,Female
Synthetic Student 050,6.92,67,4,Mechanical,Gujarat,91000,Aided,Other
Synthetic Student 051,9.38,89,4,Chemical,Kerala,291000,Aided,Male
Synthetic Student 052,7.51,73,3,Chemical,Maharashtra,80000,Aided,Other
Synthetic Student 053,9.31,89,3,Other,Kerala,407000,Government,Other
Synthetic Student 054,9.73,96,1,Mechanical,Maharashtra,947000,Aided,Other
Synthetic Student 055,9.74,95,1,Mechanical,Tamil Nadu,295000,Private,Other
Synthetic Student 056,9.88,95,4,Chemical,Maharashtra,85000,Aided,Other
Synthetic Student 057,8.01,78,1,Electronics,Other,565000,Government,Male
Synthetic Student 058,6.76,68,3,Civil,Delhi,1786000,Private,Other
